external_author_id,author,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,account_type,retweet,account_category,new_june_2018,alt_external_id,tweet_id,article_url,tco1_step1,tco2_step1,tco3_step1
906000000000000000,10_GOP,"Hi @MichelleObama, remember when you said Weinstein is a ""wonderful human being, a good friend and just a powerhouse.""  Do you disavow? https://t.co/pxNaJhhhRc",Unknown,English,10/10/2017 21:59,10/10/2017 21:59,1066,10320,302,,Right,0,RightTroll,0,905874659358453760,917872218067161090,http://twitter.com/905874659358453760/statuses/917872218067161090,https://twitter.com/10_gop/status/917872218067161090/video/1,,
906000000000000000,10_GOP,"Hi @MichelleObama, remember when you praised Harvey Weinstein as 'a wonderful human being, a good friend and a powerhouse.""  Do you disavow? https://t.co/sRc1TK78AW",Unknown,English,10/10/2017 22:06,10/10/2017 22:06,1066,10320,302,,Right,0,RightTroll,0,905874659358453760,917873988952645632,http://twitter.com/905874659358453760/statuses/917873988952645632,https://twitter.com/10_gop/status/917873988952645632/video/1,,
906000000000000000,10_GOP,"Wow! Even CNN is slamming the Obamas for silence on Weinstein: ""Where is Michelle Obama? Where is President Obama?"" https://t.co/UxIhO8GDOJ",Unknown,English,10/10/2017 22:17,10/10/2017 22:17,1066,10322,303,,Right,0,RightTroll,0,905874659358453760,917876811954098176,http://twitter.com/905874659358453760/statuses/917876811954098176,https://twitter.com/10_gop/status/917876811954098176/video/1,,
906000000000000000,10_GOP,"First lady Melania Trump visits infant opioid treatment center in Huntington, West Virginia.  We love your grace and style @FLOTUS! ❤️❤️ https://t.co/hLAKPSOro6",Unknown,English,10/10/2017 23:42,10/10/2017 23:42,1068,10328,304,,Right,0,RightTroll,0,905874659358453760,917898105365909504,http://twitter.com/905874659358453760/statuses/917898105365909504,https://twitter.com/10_gop/status/917898105365909504/video/1,,
906000000000000000,10_GOP,BREAKING: The audio of sexual predator Harvey Weinstein admitting to assaulting model Ambra Gutierrez has leaked.   I am truly disgusted. https://t.co/ka1nhd0ReR,Unknown,English,10/11/2017 0:49,10/11/2017 0:49,1069,10330,305,RETWEET,Right,1,RightTroll,0,905874659358453760,917915118633144321,http://twitter.com/905874659358453760/statuses/917915118633144321,https://twitter.com/MikeTokes/status/917826484458348545/video/1,,
906000000000000000,10_GOP,'@Breaking911 Build that wall!! 👍',Unknown,English,10/11/2017 19:16,10/11/2017 19:16,1070,10361,307,,Right,0,RightTroll,0,905874659358453760,918193488503689216,http://twitter.com/905874659358453760/statuses/918193488503689216,,,
906000000000000000,10_GOP,"""It took Hillary abt 5 minutes to blame NRA for madman's rampage, but 5 days to sorta-kinda blame Harvey Weinstein 4 his sexually assaults."" https://t.co/uzZ5obFGiO",Unknown,English,10/11/2017 20:26,10/11/2017 20:27,1070,10358,308,,Right,0,RightTroll,0,905874659358453760,918211323179171840,http://twitter.com/905874659358453760/statuses/918211323179171840,https://twitter.com/10_gop/status/918211323179171840/photo/1,,
906000000000000000,10_GOP,"Because he hates women so much, President Trump just nominated another woman, Kirstjen Nielsen, to be in his Cabinet.",Unknown,English,10/11/2017 22:14,10/11/2017 22:14,1070,10358,309,RETWEET,Right,1,RightTroll,0,905874659358453760,918238476369309696,http://twitter.com/905874659358453760/statuses/918238476369309696,,,
906000000000000000,10_GOP,"Congrats to Kirstjen Nielsen, our next Secretary of Homeland Security! Well deserved. https://t.co/UITBXQdUVx",Unknown,English,10/11/2017 22:17,10/11/2017 22:17,1070,10358,310,,Right,0,RightTroll,0,905874659358453760,918239227942461442,http://twitter.com/905874659358453760/statuses/918239227942461442,https://twitter.com/10_gop/status/918239227942461442/photo/1,,
906000000000000000,10_GOP,"Pres. Trump: ""We want lower taxes, bigger paychecks, and more jobs for American truckers and for American workers."" https://t.co/gZe8mvpay3",Unknown,English,10/11/2017 22:20,10/11/2017 22:20,1070,10357,311,,Right,0,RightTroll,0,905874659358453760,918239830429052929,http://twitter.com/905874659358453760/statuses/918239830429052929,https://twitter.com/Breaking911/status/918235357161906176/video/1,,
